Sample	s_name	totalpairs	discardpairs	percdiscard	inniepairs	outiepairs	uncombopairs	perccombo
ERR6913103_1	ERR6913103_1	192870	0	0.0	177442	299	15129	92.16
ERR6913111_1	ERR6913111_1	16620	0	0.0	14830	13	1777	89.31
ERR6913115_1	ERR6913115_1	16627	0	0.0	14841	44	1742	89.52
ERR6913117_1	ERR6913117_1	198593	0	0.0	181217	146	17230	91.32
ERR6913128_1	ERR6913128_1	1067560	0	0.0	596547	752	470261	55.95
ERR6913199_1	ERR6913199_1	31198	0	0.0	29616	60	1522	95.12
ERR6913207_1	ERR6913207_1	4620	0	0.0	4239	12	369	92.01
ERR6913211_1	ERR6913211_1	19781	0	0.0	18616	48	1117	94.35
ERR6913213_1	ERR6913213_1	15934	0	0.0	15078	15	841	94.72
ERR6913224_1	ERR6913224_1	1127307	0	0.0	988141	2614	136552	87.89
