Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences	FLASh_mqc-generalstats-flash-perccombo	Bowtie 2 / HiSAT2_mqc-generalstats-bowtie_2_hisat2-overall_alignment_rate
ERR6913103_1	8.366374268012876	50.0	127.24792347176854	0.0	192870.0	92.16	
ERR6913103_2	8.302244814212074	50.0	127.22781666407424	10.0	192870.0		
ERR6913111_1	8.74247894103489	50.0	132.37154031287605	10.0	16620.0	89.31	
ERR6913111_2	8.71239470517449	50.0	132.39296028880867	10.0	16620.0		
ERR6913115_1	8.347867925663081	49.0	128.1487339868888	10.0	16627.0	89.52	
ERR6913115_2	8.33583929752811	49.0	128.1327359114693	10.0	16627.0		
ERR6913117_1	9.940384843806868	49.0	127.34463450373377	10.0	198593.0	91.32	
ERR6913117_2	9.860304849463233	49.0	127.35233870277402	0.0	198593.0		
ERR6913128_1	7.210240355474824	44.0	143.40360354453145	0.0	1067560.0	55.95	
ERR6913128_2	7.050380370276727	44.0	143.39616321330885	0.0	1067560.0		
ERR6913199_1	16.174113725238797	48.0	106.96948522341175	20.0	31198.0	95.12	
ERR6913199_2	16.295916404897753	48.0	106.9564074620168	20.0	31198.0		
ERR6913207_1	12.38095238095238	52.0	124.62056277056277	10.0	4620.0	92.01	
ERR6913207_2	11.926406926406926	52.0	124.5926406926407	10.0	4620.0		
ERR6913211_1	9.979273039785653	50.0	113.85860168848896	0.0	19781.0	94.35	
ERR6913211_2	9.948940902886605	50.0	113.8825640766392	0.0	19781.0		
ERR6913213_1	12.106188025605618	51.0	105.87912639638509	0.0	15934.0	94.72	
ERR6913213_2	11.961842600728005	51.0	105.91188653194428	0.0	15934.0		
ERR6913224_1	10.68123552288803	44.0	132.2404526894626	0.0	1127307.0	87.89	
ERR6913224_2	10.718857251828922	44.0	132.22832821937592	0.0	1127307.0		
snarrowe_bowtie_merged2PhiX							0.0
snarrowe_bowtie_merged2SC2							0.29
